tile,site,cage.number,treatment,harvest,tile.treatment,recruits,days,std.recruits
570,PF,22,MC,Adult,No.cull,29,86,0.337209302
566,PF,22,MC,Adult,No.cull,23,86,0.26744186
235,PF,2,MC+CC,Adult,Adult.cull,53,86,0.61627907
274,PF,2,MC+CC,Adult,Adult.cull,31,86,0.360465116
12,PF,17,MC+CC,Adult,Adult.cull,32,86,0.372093023
231,PF,17,MC+CC,Adult,Adult.cull,33,86,0.38372093
286,PF,2,MC+CC,Adult,Juv.Adult.cull,44,86,0.511627907
275,PF,2,MC+CC,Adult,Juv.Adult.cull,54,86,0.627906977
220,PF,17,MC+CC,Adult,Juv.Adult.cull,35,86,0.406976744
216,PF,17,MC+CC,Adult,Juv.Adult.cull,13,86,0.151162791
334,PF,2,MC+CC,Adult,Juv.cull,43,86,0.5
249,PF,2,MC+CC,Adult,Juv.cull,49,86,0.569767442
234,PF,17,MC+CC,Adult,Juv.cull,16,86,0.186046512
210,PF,17,MC+CC,Adult,Juv.cull,40,86,0.465116279
386,PF,2,MC+CC,Adult,No.cull,47,86,0.546511628
35,PF,2,MC+CC,Adult,No.cull,52,86,0.604651163
447,PF,17,MC+CC,Adult,No.cull,51,86,0.593023256
415,PF,17,MC+CC,Adult,No.cull,28,86,0.325581395
11,PF,8,NP,Adult,Adult.cull,32,86,0.372093023
393,PF,12,NP,Adult,Adult.cull,41,86,0.476744186
400,PF,12,NP,Adult,Adult.cull,35,86,0.406976744
581,PF,8,NP,Adult,Juv.Adult.cull,37,86,0.430232558
405,PF,8,NP,Adult,Juv.Adult.cull,34,86,0.395348837
475,PF,12,NP,Adult,Juv.Adult.cull,44,86,0.511627907
372,PF,12,NP,Adult,Juv.Adult.cull,16,86,0.186046512
38,PF,8,NP,Adult,Juv.cull,44,86,0.511627907
569,PF,8,NP,Adult,Juv.cull,23,86,0.26744186
464,PF,12,NP,Adult,Juv.cull,27,86,0.313953488
339,PF,12,NP,Adult,Juv.cull,22,86,0.255813953
577,PF,8,NP,Adult,No.cull,36,86,0.418604651
30,PF,8,NP,Adult,No.cull,42,86,0.488372093
381,PF,12,NP,Adult,No.cull,21,86,0.244186047
459,PF,12,NP,Adult,No.cull,23,86,0.26744186
10,ML,8,CC,Final,Adult.cull,10,123,0.081300813
77,ML,8,CC,Final,Adult.cull,10,123,0.081300813
550,ML,12,CC,Final,Adult.cull,4,123,0.032520325
496,ML,12,CC,Final,Adult.cull,10,123,0.081300813
484,ML,12,CC,Final,Adult.cull,12,123,0.097560976
526,PF,1,CC,Final,Adult.cull,34,123,0.276422764
260,PF,21,CC,Final,Adult.cull,36,123,0.292682927
294,SIN,3,CC,Final,Adult.cull,16,123,0.130081301
293,SIN,3,CC,Final,Adult.cull,18,123,0.146341463
290,SIN,15,CC,Final,Adult.cull,22,123,0.178861789
295,SIN,15,CC,Final,Adult.cull,8,123,0.06504065
292,SIN,15,CC,Final,Adult.cull,15,123,0.12195122
804,SIN,17,CC,Final,Adult.cull,49,123,0.398373984
741,SIN,17,CC,Final,Adult.cull,12,123,0.097560976
23,SIN,17,CC,Final,Adult.cull,13,123,0.105691057
165,ML,8,CC,Final,Juv.Adult.cull,12,123,0.097560976
508,ML,12,CC,Final,Juv.Adult.cull,18,123,0.146341463
483,ML,12,CC,Final,Juv.Adult.cull,8,123,0.06504065
489,ML,12,CC,Final,Juv.Adult.cull,19,123,0.154471545
544,PF,1,CC,Final,Juv.Adult.cull,48,123,0.390243902
257,PF,21,CC,Final,Juv.Adult.cull,26,123,0.211382114
690,SIN,3,CC,Final,Juv.Adult.cull,23,123,0.18699187
686,SIN,3,CC,Final,Juv.Adult.cull,11,123,0.089430894
695,SIN,3,CC,Final,Juv.Adult.cull,41,123,0.333333333
297,SIN,15,CC,Final,Juv.Adult.cull,41,123,0.333333333
689,SIN,15,CC,Final,Juv.Adult.cull,12,123,0.097560976
701,SIN,15,CC,Final,Juv.Adult.cull,20,123,0.162601626
801,SIN,17,CC,Final,Juv.Adult.cull,41,123,0.333333333
798,SIN,17,CC,Final,Juv.Adult.cull,20,123,0.162601626
487,ML,12,CC,Final,Juv.cull,6,123,0.048780488
481,ML,12,CC,Final,Juv.cull,17,123,0.138211382
541,ML,12,CC,Final,Juv.cull,12,123,0.097560976
547,PF,1,CC,Final,Juv.cull,36,123,0.292682927
272,PF,21,CC,Final,Juv.cull,51,123,0.414634146
702,SIN,3,CC,Final,Juv.cull,33,123,0.268292683
685,SIN,3,CC,Final,Juv.cull,24,123,0.195121951
683,SIN,3,CC,Final,Juv.cull,26,123,0.211382114
296,SIN,15,CC,Final,Juv.cull,44,123,0.357723577
700,SIN,15,CC,Final,Juv.cull,38,123,0.308943089
693,SIN,15,CC,Final,Juv.cull,18,123,0.146341463
45,SIN,17,CC,Final,Juv.cull,53,123,0.430894309
34,SIN,17,CC,Final,Juv.cull,47,123,0.382113821
178,ML,8,CC,Final,No.cull,0,123,0
178,ML,8,CC,Final,No.cull,34,123,0.276422764
346,ML,8,CC,Final,No.cull,5,123,0.040650407
500,ML,12,CC,Final,No.cull,13,123,0.105691057
506,ML,12,CC,Final,No.cull,17,123,0.138211382
491,ML,12,CC,Final,No.cull,11,123,0.089430894
